	gap_A	gap_B
0	0	1
1	1	0
2	1	0
3	0	1
4	1	0
5	0	1
6	1	0
7	0	1
8	1	0
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	1	0
15	1	0
16	1	0
17	0	1
18	1	0
19	1	0
20	1	0
21	0	1
22	1	0
23	1	0
24	0	1
25	0	1
26	1	0
27	1	0
28	1	0
29	0	1
30	0	1
31	0	1
32	0	1
33	1	0
34	1	0
35	0	1
36	0	1
37	0	1
38	0	1
39	1	0
40	1	0
41	0	1
42	1	0
43	0	1
44	0	1
45	0	1
46	0	1
47	1	0
48	0	1
49	0	1
50	0	1
51	1	0
52	0	1
53	0	1
54	1	0
55	0	1
56	0	1
57	0	1
58	1	0
59	0	1
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	0	1
66	0	1
67	1	0
68	1	0
69	0	1
70	1	0
71	1	0
72	1	0
73	1	0
74	0	1
75	0	1
76	1	0
77	1	0
78	0	1
79	0	1
80	0	1
81	0	1
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	0	1
91	0	1
92	0	1
93	1	0
94	1	0
95	1	0
96	0	1
97	1	0
98	0	1
99	1	0
100	0	1
101	0	1
102	0	1
103	1	0
104	1	0
105	0	1
106	0	1
107	0	1
108	0	1
109	0	1
110	0	1
111	0	1
112	0	1
113	1	0
114	0	1
115	1	0
116	0	1
117	1	0
118	1	0
119	0	1
120	0	1
121	1	0
122	0	1
123	1	0
124	0	1
125	1	0
126	0	1
127	0	1
128	0	1
129	0	1
130	0	1
131	0	1
132	0	1
133	0	1
134	0	1
135	1	0
136	0	1
137	1	0
138	1	0
139	0	1
140	0	1
141	1	0
142	1	0
143	1	0
144	0	1
145	1	0
146	0	1
147	1	0
148	0	1
149	1	0
150	1	0
151	1	0
152	0	1
153	0	1
154	0	1
155	1	0
156	1	0
157	1	0
158	1	0
159	0	1
160	1	0
161	1	0
162	1	0
163	0	1
164	1	0
165	1	0
166	1	0
167	0	1
168	1	0
169	0	1
170	0	1
171	1	0
172	1	0
173	0	1
174	0	1
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	0	1
181	0	1
182	1	0
183	1	0
184	0	1
185	0	1
186	1	0
187	1	0
188	1	0
189	0	1
190	1	0
191	0	1
192	0	1
193	0	1
194	1	0
195	0	1
196	0	1
197	0	1
198	0	1
199	1	0
200	1	0
201	1	0
202	0	1
203	1	0
204	1	0
205	0	1
206	1	0
207	1	0
208	1	0
209	1	0
210	0	1
211	1	0
212	0	1
213	0	1
214	0	1
215	0	1
216	0	1
217	1	0
218	0	1
219	1	0
220	0	1
221	1	0
222	1	0
223	0	1
224	1	0
225	1	0
226	1	0
227	0	1
228	0	1
229	0	1
230	0	1
231	1	0
232	1	0
233	0	1
234	0	1
235	1	0
236	1	0
237	1	0
238	1	0
239	0	1
240	0	1
241	0	1
242	1	0
243	1	0
244	1	0
245	0	1
246	0	1
247	1	0
248	1	0
249	0	1
250	1	0
251	1	0
252	1	0
253	0	1
254	1	0
255	0	1
256	0	1
257	1	0
258	1	0
259	0	1
260	0	1
261	1	0
262	0	1
263	0	1
264	0	1
265	0	1
266	1	0
267	0	1
268	0	1
269	1	0
270	0	1
271	0	1
272	1	0
273	1	0
274	1	0
275	1	0
276	1	0
277	1	0
278	1	0
279	0	1
280	1	0
281	1	0
282	0	1
283	0	1
284	0	1
285	1	0
286	1	0
287	0	1
288	0	1
289	1	0
290	1	0
291	1	0
292	0	1
293	1	0
294	0	1
295	1	0
296	1	0
297	1	0
298	1	0
299	0	1
300	0	1
301	0	1
302	0	1
303	0	1
304	0	1
305	0	1
306	0	1
307	1	0
308	0	1
309	1	0
310	0	1
311	0	1
312	1	0
313	1	0
314	1	0
315	0	1
316	0	1
317	1	0
318	0	1
319	0	1
320	0	1
321	0	1
322	0	1
323	0	1
324	1	0
325	0	1
326	1	0
327	0	1
328	1	0
329	1	0
330	0	1
331	0	1
332	1	0
333	1	0
334	0	1
335	1	0
336	0	1
337	1	0
338	0	1
339	1	0
340	0	1
341	1	0
342	1	0
343	1	0
344	1	0
345	1	0
346	0	1
347	0	1
348	0	1
349	1	0
350	0	1
351	0	1
352	0	1
353	1	0
354	0	1
355	0	1
356	1	0
357	0	1
358	1	0
359	0	1
360	1	0
361	0	1
362	1	0
363	1	0
364	0	1
365	1	0
366	0	1
367	0	1
368	1	0
369	1	0
370	0	1
371	0	1
372	1	0
373	0	1
374	1	0
375	1	0
376	1	0
377	0	1
378	0	1
379	1	0
380	1	0
381	1	0
382	0	1
383	0	1
384	1	0
385	1	0
386	1	0
387	0	1
388	1	0
389	0	1
390	1	0
391	1	0
392	1	0
393	1	0
394	1	0
395	0	1
396	0	1
397	1	0
398	1	0
399	0	1
400	0	1
