	A-stanford	B-stanford
0	0	0
1	1	0
2	0	0
3	0	0
4	1	0
5	0	0
6	1	0
7	1	0
8	1	0
9	1	0
10	0	1
11	0	0
12	1	0
13	0	0
14	1	0
15	0	0
16	0	1
17	0	0
18	0	1
19	0	0
20	0	1
21	1	0
22	0	0
23	1	0
24	1	0
25	1	1
26	1	0
27	0	1
28	0	1
29	1	0
30	0	1
31	0	0
32	1	0
33	0	0
34	1	0
35	1	0
36	0	0
37	0	0
38	0	0
39	1	0
40	0	1
41	0	0
42	1	0
43	0	0
44	0	1
45	0	0
46	0	1
47	1	0
48	0	1
49	0	0
50	0	0
51	0	1
52	1	1
53	0	1
54	0	0
55	0	0
56	0	1
57	0	1
58	0	0
59	0	1
60	1	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	1	0
67	0	0
68	1	0
69	0	1
70	1	0
71	0	0
72	1	0
73	1	0
74	1	0
75	1	0
76	0	0
77	1	0
78	0	0
79	0	1
80	1	0
81	0	1
82	0	0
83	1	0
84	0	0
85	0	0
86	0	0
87	1	0
88	0	1
89	1	0
90	1	0
91	0	0
92	0	1
93	0	0
94	1	0
95	1	0
96	0	0
97	1	0
98	0	1
99	0	1
100	0	0
101	0	1
102	0	0
103	1	0
104	1	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	1
111	0	0
112	0	0
113	0	0
114	0	0
115	1	0
116	1	0
117	1	0
118	0	0
119	1	0
120	0	0
121	1	0
122	0	0
123	0	0
124	0	1
125	1	0
126	0	0
127	0	0
128	0	1
129	1	0
130	0	1
131	0	1
132	0	1
133	1	0
134	0	0
135	0	0
136	0	1
137	0	1
138	1	0
139	0	1
140	0	1
141	0	0
142	0	0
143	0	1
144	1	0
145	0	0
146	0	1
147	1	0
148	0	0
149	0	0
150	0	0
151	1	0
152	0	0
153	1	1
154	0	0
155	1	0
156	0	0
157	1	0
158	0	0
159	0	0
160	1	0
161	1	0
162	1	0
163	0	1
164	1	0
165	0	0
166	0	1
167	1	0
168	1	0
169	0	1
170	0	1
171	0	1
172	1	0
173	0	1
174	0	1
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	0	0
181	1	0
182	1	0
183	0	0
184	1	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	1
192	0	0
193	1	1
194	1	0
195	0	0
196	0	0
197	0	1
198	1	0
199	1	0
200	1	0
201	1	0
202	0	0
203	0	0
204	1	0
205	0	1
206	1	0
207	1	1
208	0	0
209	0	0
210	0	0
211	1	0
212	0	1
213	0	0
214	0	0
215	1	0
216	1	0
217	0	1
218	0	1
219	1	0
220	0	0
221	1	0
222	0	0
223	0	0
224	1	0
225	0	0
226	0	0
227	0	0
228	1	0
229	1	0
230	1	0
231	0	0
232	1	0
233	0	1
234	0	0
235	0	0
236	0	0
237	0	1
238	0	0
239	0	1
240	0	0
241	1	0
242	1	0
243	1	0
244	0	1
245	0	0
246	1	0
247	0	0
248	0	1
249	1	0
250	0	1
251	1	0
252	1	0
253	1	0
254	1	0
255	0	0
256	0	0
257	1	0
258	0	0
259	0	0
260	0	1
261	1	0
262	0	1
263	0	0
264	0	1
265	0	0
266	0	1
267	0	0
268	1	1
269	0	1
270	0	1
271	0	0
272	1	0
273	0	0
274	0	0
275	0	0
276	1	0
277	0	0
278	1	0
279	0	1
280	0	0
281	0	0
282	0	0
283	1	0
284	1	0
285	0	0
286	0	1
287	0	1
288	0	0
289	1	0
290	1	0
291	1	0
292	0	1
293	1	0
294	0	1
295	1	0
296	0	0
297	0	0
298	1	0
299	0	1
300	0	0
301	0	0
302	1	0
303	0	1
304	1	1
305	0	0
306	1	1
307	1	0
308	0	0
309	0	0
310	1	0
311	0	1
312	0	0
313	0	0
314	1	0
315	0	1
316	0	1
317	1	0
318	0	1
319	1	1
320	0	1
321	0	0
322	0	0
323	1	1
324	1	0
325	1	0
326	0	0
327	0	0
328	0	1
329	0	0
330	0	0
331	0	0
332	1	0
333	1	0
334	0	1
335	1	0
336	1	0
337	0	0
338	0	0
339	0	1
340	0	1
341	0	0
342	1	0
343	1	0
344	1	0
345	0	1
346	0	0
347	0	0
348	1	0
349	0	1
350	0	0
351	0	1
352	1	0
353	1	0
354	0	0
355	1	0
356	1	0
357	0	0
358	1	0
359	1	0
360	0	0
361	0	0
362	1	0
363	1	0
364	0	1
365	0	0
366	0	1
367	0	1
368	1	0
369	1	0
370	0	0
371	1	0
372	1	0
373	1	0
374	1	0
375	1	0
376	0	0
377	0	0
378	0	1
379	1	0
380	1	0
381	0	0
382	0	0
383	0	0
384	0	1
385	1	0
386	1	0
387	0	0
388	1	0
389	0	0
390	0	0
391	0	1
392	1	0
393	1	0
394	0	1
395	0	0
396	0	0
397	0	0
398	0	0
399	1	0
400	1	0
401	1	0
402	0	1
403	0	0
404	0	0
405	0	0
406	0	0
407	0	0
408	1	0
409	0	0
410	0	0
411	0	1
412	1	0
413	0	1
414	1	0
415	1	0
416	0	1
417	0	0
418	0	0
419	1	0
420	0	0
421	0	1
422	0	0
423	0	1
424	0	0
425	0	0
426	0	0
427	0	0
428	0	0
429	0	1
430	0	0
431	1	0
432	0	1
433	0	0
434	0	0
435	1	0
436	0	0
437	0	0
438	0	1
439	0	1
440	0	0
441	0	1
442	1	0
443	0	0
444	0	0
445	0	1
446	0	1
447	0	0
448	0	0
449	0	0
450	1	0
451	0	0
452	0	0
453	1	0
454	0	0
455	1	0
456	0	1
457	0	1
458	0	0
459	1	0
460	1	0
461	0	1
462	0	0
463	0	0
464	1	0
465	1	0
466	1	0
467	1	0
468	1	0
469	0	0
470	0	0
471	1	0
472	0	0
473	1	0
474	0	0
475	0	1
476	0	0
477	1	0
478	1	0
479	0	0
480	0	1
481	0	0
482	0	0
483	1	0
484	1	0
485	0	0
486	0	0
487	0	0
488	0	0
489	0	0
490	1	0
491	1	0
492	0	0
493	1	0
494	0	1
495	1	0
496	0	0
497	0	1
498	0	0
499	0	1
500	0	0
501	0	1
502	0	1
503	0	1
504	0	0
505	0	1
506	1	0
507	1	0
508	0	0
509	0	0
510	0	1
511	0	0
512	0	0
513	0	0
514	0	0
515	0	0
516	1	1
517	1	0
518	1	0
519	0	0
520	0	1
521	0	0
522	0	0
523	0	0
524	0	0
525	1	0
526	0	0
527	0	0
528	0	0
529	1	0
530	0	0
531	1	0
532	1	0
533	1	0
534	0	0
535	0	0
536	1	0
537	0	1
538	0	1
539	1	0
540	0	0
541	0	1
542	0	1
543	0	0
544	1	0
545	1	0
546	1	0
547	0	1
548	1	0
549	0	0
550	0	0
551	0	0
552	0	0
553	0	1
554	1	0
555	1	0
556	0	0
557	1	0
558	0	0
559	0	1
560	1	0
561	0	1
562	0	1
563	0	1
564	0	0
565	1	0
566	0	1
567	0	0
568	1	0
569	0	1
570	1	0
571	0	0
572	0	0
573	0	1
574	0	1
575	1	0
576	0	0
577	1	0
578	1	0
579	0	0
580	0	0
581	0	0
582	0	1
583	1	0
584	0	0
585	1	1
586	0	1
587	0	1
588	0	1
589	0	0
590	0	0
591	0	0
592	0	0
593	0	0
594	0	0
595	1	0
596	0	1
597	0	0
598	1	0
599	1	0
600	0	1
601	0	0
602	0	1
603	0	1
604	0	1
605	0	1
606	0	1
607	1	0
608	1	0
609	0	0
610	0	0
611	0	0
612	0	0
613	0	1
614	0	0
615	0	1
616	0	0
617	0	0
618	0	1
619	0	1
620	0	1
621	0	1
622	0	1
623	1	0
624	1	0
625	0	0
626	0	0
627	1	0
628	1	0
629	1	0
630	0	0
631	0	1
632	1	0
633	0	1
634	0	0
635	0	1
636	1	0
637	0	0
